Trial  Reward  #Clicks
0  317.580286612  339
1  304.794642446  325
2  311.391922784  332
3  308.70456141  329
4  305.869533642  326
5  313.299347895  334
6  307.912836019  328
7  311.345899839  332
8  309.133655469  329
9  313.369931525  334
10  316.507395789  337
11  316.971821715  338
12  322.860731848  344
13  319.44648529  340
14  315.311288166  336
15  319.917637066  341
16  318.33237257  339
17  321.297156326  342
18  324.239495395  345
19  319.000876628  339
20  323.274862781  344
21  323.430464167  344
22  326.089108432  347
23  324.938983702  345
24  329.116994256  350
25  329.201709726  350
26  328.62717636  349
27  327.863412363  348
28  340.765511962  362
29  329.274182639  350
30  331.98565127  353
31  332.905545652  354
32  329.825213319  351
33  332.009531813  353
34  327.049393427  347
35  334.292395332  355
36  341.742764989  363
37  330.111553119  351
38  332.827329316  354
39  332.210702715  353
40  335.165586626  356
41  333.296173899  354
42  330.38323208  351
43  340.053136475  361
44  329.122773196  349
45  327.035337158  347
46  332.39902649  353
47  331.17767804  352
