Trial  Reward  #Clicks
0  79.0194218339  179
1  77.0176081218  177
2  100.020479833  200
3  110.016625694  210
4  107.019421834  207
5  128.020933261  228
6  113.014585268  213
7  118.018288264  218
8  110.015567696  210
9  124.021840117  224
10  125.022520259  225
11  123.019724119  223
12  136.020177547  236
13  122.019421834  222
14  132.021991259  232
15  137.021537831  237
16  134.019572977  234
17  134.019270691  234
18  134.019270691  234
19  140.020782118  240
20  151.006650278  251
21  135.019421834  235
22  139.019119549  239
23  137.020555404  237
24  139.017079122  239
25  145.016247838  245
26  138.021311117  238
27  145.021235546  245
28  141.020253119  241
29  148.018817263  248
30  135.013829555  235
31  144.013829555  244
32  139.020479833  239
33  141.018968406  241
34  150.020933261  250
35  143.018741692  243
36  151.018288264  251
37  136.020177547  236
38  147.018514978  247
39  147.011486843  247
40  139.021084403  239
41  148.013073842  248
42  135.021613403  235
43  143.021386689  243
44  138.004836566  238
45  140.019119549  240
46  137.018590549  237
47  148.019950833  248
48  139.019043977  239
49  140.016323409  240
50  142.016625694  242
51  148.01919512  248
52  138.020026405  238
53  147.019270691  247
54  151.013905126  251
55  143.022217973  243
56  144.019346263  244
57  144.016625694  244
58  147.022066831  247
59  141.017683693  241
60  138.018439407  238
61  143.020857689  243
62  136.016550123  236
63  142.019346263  242
64  139.018892835  239
65  138.021386689  238
66  147.012393699  247
67  141.02259583  241
68  146.022520259  246
69  134.017305836  234
70  143.015869981  243
71  149.01919512  249
72  147.021764545  247
73  142.020101976  242
74  146.019648548  246
75  144.010655559  244
76  150.021235546  250
77  151.022444687  251
78  141.022444687  241
79  152.018817263  252
80  147.016701266  247
81  149.018892835  249
82  143.016247838  243
83  144.017381408  244
84  148.021764545  248
85  143.019119549  243
86  146.010277702  246
87  144.019119549  244
88  154.01526541  254
89  149.02032869  249
90  151.020555404  251
91  152.01919512  252
92  141.021386689  241
93  141.009144132  241
94  145.019875262  245
95  147.017154694  247
96  145.02146226  245
97  148.015643267  248
98  146.019799691  246
99  147.019421834  247
100  141.021235546  241
101  146.01919512  246
102  147.022293545  247
103  153.020630975  253
104  143.021311117  243
105  141.015114268  241
106  141.011637986  241
107  142.022293545  242
108  142.016852408  242
109  142.006650278  242
110  147.020857689  247
111  146.021311117  246
112  155.020253119  255
113  150.017834836  250
114  146.019724119  246
115  150.018514978  250
116  148.01806155  248
117  147.019497405  247
118  150.001813712  250
119  143.019497405  243
120  140.021537831  240
121  144.009521989  244
122  140.021613403  240
123  147.021386689  247
124  142.020479833  242
125  141.018741692  241
126  147.021537831  247
127  155.01806155  255
128  146.015718838  246
129  146.021991259  246
130  149.003702996  249
131  154.01753255  254
132  143.020101976  243
133  144.020026405  244
134  140.017381408  240
135  149.020706547  249
136  144.02146226  244
137  145.018892835  245
138  142.020706547  242
139  147.020555404  247
140  145.021840117  245
