Trial  Reward  #Clicks
0  78.0087662752  178
1  84.0035518529  184
2  92.005252208  192
3  95.0075571339  195
4  94.0111845581  194
5  105.007708277  205
6  113.010391059  213
7  124.009144132  224
8  136.009559774  236
9  140.010617773  240
10  141.00479878  241
11  146.009484203  246
12  153.008841847  253
13  163.005441136  263
14  167.006310207  267
15  172.009899845  272
16  179.010579987  279
17  189.011108987  289
18  192.011297915  292
19  195.009068561  295
20  203.002682782  303
21  208.00906856  308
22  221.006159064  321
23  225.007783848  325
24  228.003362924  328
25  259.01073113  359
26  291.007670491  391
27  318.011071201  418
28  348.009673131  448
29  371.009899845  471
30  391.46487482  490
31  396.198438998  491
32  398.921649904  490
33  401.642215812  489
34  406.562138911  490
35  411.329559049  491
36  413.147309698  489
37  418.869991604  491
38  421.641643737  490
39  423.42516057  488
40  431.082246555  492
41  431.746171745  489
42  437.585611368  491
43  441.382088686  491
44  447.13828648  493
45  447.684924954  490
46  451.459977797  490
47  456.070889694  491
48  457.597199477  489
49  463.14323338  491
50  464.500641223  489
51  465.533999167  487
52  470.472066188  491
53  472.42875701  490
54  469.716532666  487
55  472.033970072  489
56  474.585827502  490
57  475.534512297  490
58  474.609554635  489
59  475.931488536  490
60  475.168971467  489
61  474.219642049  488
62  474.341122975  488
63  473.486862301  487
64  476.489960726  490
65  475.592926674  489
66  474.664757231  488
67  474.827840179  488
68  475.897970381  489
69  475.861164872  488
70  479.064829628  491
71  477.257309827  489
72  477.437698611  489
73  476.626778099  488
74  478.520638155  490
75  479.434222329  491
76  476.580755154  488
77  478.708508501  490
78  477.801234533  489
79  477.8527364  489
80  474.794773184  486
81  479.802670389  491
82  478.815857587  490
83  478.773499852  490
84  477.999344797  489
85  475.087498763  486
86  477.024925694  488
87  479.048730666  490
88  477.098683321  488
89  477.128382857  488
90  480.148635975  491
91  478.22964845  489
92  475.264297908  486
93  477.234258301  488
94  479.306051073  490
95  477.240228437  488
96  476.395829822  487
97  479.133143851  490
98  478.304426289  489
99  478.156117538  489
100  480.276275965  491
101  479.279223248  490
102  477.39628325  488
103  480.401724387  491
104  478.45893189  489
105  477.345461526  488
106  478.481338792  489
107  478.436978416  489
108  476.432066279  487
109  477.471174447  488
110  478.637053534  489
111  478.34629281  489
112  477.496830916  488
113  476.265695978  487
114  480.4027446  491
115  479.489953924  490
116  473.323394695  484
117  479.396623321  490
118  479.450241186  490
119  477.46486424  488
120  479.412757802  490
121  478.476880083  489
122  478.125548931  489
123  477.387592547  488
124  479.434220062  490
125  479.535334513  490
126  475.29010552  486
127  478.497397701  489
128  479.511302827  490
129  475.288178451  486
130  478.410301734  489
131  476.27824082  487
132  480.282548386  491
133  479.247143214  490
134  476.336619679  487
