Trial  Reward  #Clicks
0  10.0140562689  110
1  13.0167768371  113
2  19.0222935448  119
3  22.0093708459  122
4  27.0182126925  127
5  38.0179859785  138
6  45.02032869  145
7  50.0208576893  150
8  50.0225202588  150
9  54.0087662752  154
10  60.0216889741  160
11  66.0214622601  166
12  71.0223691161  171
13  78.0219912594  178
14  81.0174569791  181
15  90.0196485479  190
16  94.0221424021  194
17  96.02032869  196
18  105.018590549  205
19  114.019724119  214
20  123.02146226  223
21  134.021084403  234
22  141.014282983  241
23  140.021764545  240
24  145.020706547  245
25  150.020026405  250
26  161.019119549  261
27  164.019799691  264
28  172.020404261  272
29  176.020933261  276
30  186.016172266  286
31  192.022369116  292
32  198.017834836  298
33  202.021159975  302
34  210.020706547  310
35  218.020101976  318
36  222.019724119  322
37  229.022066831  329
38  245.018892835  345
39  287.015038696  387
40  306.022520259  406
41  337.022142402  437
42  364.019572977  464
43  392.722613136  492
44  397.294861225  489
45  403.665787268  488
46  414.040038451  491
47  419.216368298  489
48  428.699442208  491
49  437.724931665  493
50  440.404455535  489
51  446.184191534  490
52  451.037498498  491
53  452.908604779  490
54  454.326545264  488
55  459.056186534  492
56  455.695671198  488
57  457.832717553  489
58  461.341192501  489
59  463.629270442  491
60  461.84600904  489
61  461.204670611  488
62  461.523732801  488
63  461.861687825  488
64  464.074798999  490
65  464.118554804  490
66  462.36680665  488
67  462.515455472  488
68  463.580900251  489
69  465.709976097  491
70  463.958681371  489
71  462.08004894  487
72  465.085490076  490
73  465.240109034  490
74  466.305856099  491
75  465.36525517  490
76  466.50695143  491
77  467.733514301  492
78  467.488849827  491
79  464.587697137  488
80  469.967518683  493
81  466.801412882  490
82  464.561096026  488
83  467.437950263  490
84  469.650305724  492
85  466.639121166  489
86  467.104565038  489
87  466.252458147  488
88  469.272937979  491
89  466.320699065  488
90  466.190943077  488
91  467.130334864  489
92  466.384632417  488
93  466.58414075  488
94  466.318809782  488
95  470.620717278  492
96  467.583082751  489
97  467.770801955  489
