Trial  Reward  #Clicks  UnseenWeights
0  9.01828826385  109  109
1  10.0163234091  110  3
2  11.0213111174  111  0
3  11.0225202588  111  0
4  13.0068769918  113  2
5  17.0187416919  117  5
6  16.0128471275  116  1
7  22.0222935448  122  7
8  24.0214622601  124  3
9  26.0160211237  126  6
10  33.0197241193  133  8
11  37.0217645454  137  3
12  36.0199508333  136  3
13  40.0187416919  140  3
14  43.020101976  143  6
15  49.0101265593  149  6
16  50.0094464173  150  1
17  52.0192706912  152  2
18  54.0204042613  154  4
19  54.0225958301  154  6
20  60.02032869  160  7
21  65.0180615498  165  8
22  69.0163989804  169  8
23  78.0219912594  178  8
24  91.0190439772  191  19
25  94.0224446875  194  4
26  94.0095219886  194  3
27  99.021008832  199  3
28  105.021084403  205  6
29  107.01919512  207  4
30  115.018363835  215  12
31  122.020253119  222  9
32  133.018590549  233  16
33  139.014963125  239  8
34  140.013451698  240  3
35  143.022142402  243  3
36  148.021840117  248  5
37  148.02032869  248  8
38  153.021008832  253  4
39  157.015189839  257  8
40  163.018892835  263  8
41  165.017834836  265  5
42  168.017683693  268  10
43  173.018363835  273  6
44  175.018288264  275  5
45  179.019724119  279  8
46  190.018363835  290  12
47  194.020555404  294  6
48  199.022142402  299  8
49  206.022369116  306  9
50  207.021084403  307  5
51  210.02146226  310  6
52  214.021840117  314  6
53  222.018817263  322  12
54  223.010277702  323  4
55  224.012091414  324  4
56  229.01466084  329  6
57  237.022369116  337  8
58  252.020630975  352  19
59  276.01579441  376  32
60  293.018590549  393  18
61  306.021764545  406  16
62  317.0118647  417  14
63  333.019950833  433  16
64  354.015492124  454  27
65  369.015945552  469  21
66  387.021613403  487  25
67  396.044804735  492  5
68  400.202170711  491  5
69  403.820184046  490  6
70  412.638421375  493  2
71  415.631041834  491  9
72  420.631899569  491  4
73  424.248894958  491  3
74  429.680322659  492  1
75  431.804215067  491  6
76  436.266591498  492  1
77  437.515932327  490  8
78  441.080067833  491  3
79  445.801578383  492  3
80  448.212530786  492  9
81  451.523119917  491  1
82  452.123494147  490  4
83  454.776466027  491  1
84  454.682375177  489  7
85  456.448477351  489  8
86  458.24583054  490  7
87  459.238686782  490  8
88  461.02141465  490  6
89  462.884137047  491  3
90  466.423031726  492  2
91  464.399906896  490  5
92  465.673812944  490  3
93  466.369789451  491  10
94  467.678347225  492  5
95  463.85870049  489  4
96  465.024352864  490  6
97  465.314435713  491  12
98  466.874419329  492  2
99  468.351879044  493  3
