Trial  Reward  #Clicks
0  -10.9778953543  89
1  49.0107689299  149
2  97.0274891106  197
3  163.023332682  263
4  224.01076893  324
5  339.598295297  395
6  372.099491688  394
7  372.395731725  394
8  373.518062046  394
9  372.849349283  394
10  372.846893211  394
11  373.610449074  395
12  373.816475707  395
13  373.698678728  395
14  373.141244907  395
15  376.471964413  398
16  374.431911551  396
17  374.438523107  395
18  374.953165546  396
19  375.187531468  396
20  374.55717121  396
21  375.829984102  397
22  374.393559046  396
23  374.813547314  396
24  373.404611369  395
25  373.543662815  395
26  374.066523648  396
27  372.673362296  394
28  374.514945669  396
29  375.317137429  397
30  374.330079038  396
31  376.18932629  397
32  375.160892536  396
33  371.938145723  393
34  372.754034806  394
35  374.404610425  395
36  375.395164939  397
37  373.837541245  395
38  375.414907978  397
39  375.915190898  397
40  372.556886872  393
41  371.364275114  393
42  371.31978243  393
43  375.964123404  397
44  373.892803804  396
45  372.394881546  394
46  373.984434173  396
47  374.713509623  396
48  375.377310242  396
49  373.596751751  395
