Trial  Reward  #Clicks
0  -12.9734555323  87
1  48.0159644663  148
2  93.0238994673  193
3  162.026544468  262
4  222.021726788  322
5  342.843617189  396
6  371.706613729  393
7  372.562366746  394
8  372.300416304  393
9  372.289081533  394
10  372.165237894  393
11  373.093917349  394
12  375.393935959  396
13  373.843586961  395
14  372.213793488  394
15  374.149651285  395
16  372.454676502  393
17  372.850104997  394
18  374.434650071  395
19  374.778028738  396
20  373.324882557  394
21  370.506632811  392
22  372.813075937  395
23  373.189327235  395
24  374.291347732  395
25  373.079086455  394
26  373.735047482  395
27  372.688854441  394
28  373.244777777  395
29  374.476215307  396
30  371.303723499  393
31  372.616494789  394
32  373.668639081  395
33  374.895824773  395
34  373.562272282  395
35  371.52420317  393
36  372.617250503  394
37  373.18195902  395
38  369.221161703  391
39  373.820443208  395
40  373.935689651  395
41  372.783696596  394
42  372.199717363  393
43  373.704535514  395
44  375.859740355  397
45  373.780390345  395
46  372.544512994  394
47  374.533271743  396
48  372.952031974  394
49  373.022691269  394
50  373.671283137  394
51  371.864274642  393
52  370.614133181  392
53  374.62707479  396
54  375.134631462  396
55  373.482638879  395
56  370.258475101  392
57  374.988495193  396
58  375.138598962  396
59  375.27547773  396
60  373.170150038  394
61  371.707558372  393
62  372.667599974  394
63  374.606765911  397
64  372.91698572  394
65  374.883073037  396
66  373.559438353  395
67  373.919914113  395
68  370.753090163  392
69  372.000020782  394
70  373.309391357  395
71  373.181013432  394
72  373.273966301  394
73  373.791820525  395
74  371.087305793  393
75  369.009560732  390
76  371.89875411  393
77  373.886851609  395
78  373.090988956  394
79  372.657208901  394
80  374.908011612  396
81  373.324599164  394
82  373.221349687  394
83  373.565011747  395
84  373.672228725  395
85  373.067845203  394
86  371.977537335  393
87  372.145967177  393
88  373.331495058  394
89  372.670339439  394
90  371.804384277  393
91  369.568979247  391
92  370.588249019  391
93  371.802778384  393
94  374.479049236  396
95  369.814586421  391
96  373.382127922  394
97  371.940885187  393
98  370.411979584  392
99  370.520613527  392
