Trial  Reward  #Clicks
0  10.0164745517  110
1  75.0222179734  175
2  153.02146226  253
3  225.021613403  325
4  429.653419263  492
5  468.835868878  490
6  470.692132192  492
7  471.108303552  492
8  466.497838282  488
9  471.629785838  493
10  467.012554666  488
11  470.101542184  492
12  471.173672759  492
13  470.622188652  491
14  469.914649731  490
15  471.643766536  493
16  469.305015745  490
17  472.252115809  493
18  463.246221244  484
19  469.477736306  491
20  468.856499853  490
21  469.995551115  491
22  472.811645997  493
23  467.648074102  489
24  472.212214142  493
25  471.89927323  493
26  470.223776557  491
27  470.522358914  491
28  470.85461057  492
29  468.89866866  490
30  470.062809606  491
31  470.806925055  492
32  467.066059174  488
33  469.761733395  491
34  470.572916139  491
35  470.894890093  492
36  467.89526795  489
37  470.605225153  492
38  470.103391415  491
39  468.937587899  490
40  471.953835737  493
41  469.900557943  491
42  469.985953555  491
43  470.89927323  492
44  469.522247824  491
45  470.897459518  492
46  469.000009824  490
47  468.942877893  490
48  470.907434935  492
49  469.47176617  491
50  471.345975411  492
51  471.253627235  492
52  469.139590086  490
53  472.626647361  493
54  468.350660834  489
55  465.70218318  487
56  468.070215597  489
57  469.55587707  491
58  472.708606744  494
59  468.571404712  489
60  469.995928972  491
61  468.466511695  489
62  470.08389401  491
63  468.965927151  490
64  470.973559856  492
65  469.632506407  491
66  470.43688773  491
67  473.354590543  494
68  469.569364286  490
69  471.754856403  493
70  471.390260215  492
71  470.023059082  491
72  467.819318755  489
73  467.859598278  489
74  466.281286345  487
75  464.344050609  486
76  471.813499762  493
77  471.132184095  492
78  471.854837284  493
79  471.093567141  492
80  470.079510872  491
81  469.849018291  491
82  472.859936082  493
83  465.083742867  486
84  468.903505225  490
85  468.831788025  490
86  470.745258843  492
