Trial  Reward  #Clicks  UnseenWeights
0  -90.9820649533  9  71
1  -79.9799668912  20  13
2  -72.9971574643  27  9
3  -54.9827417475  45  17
4  -42.9798315324  57  12
5  -29.9905925604  70  15
6  -20.9958715553  79  7
7  -13.9924875842  86  6
8  1.01096406629  101  17
9  43.6928667243  105  5
10  84.8436104535  104  2
11  87.069118286  106  0
12  85.1841421701  105  1
13  86.1280670622  105  0
14  86.5121166468  106  1
15  85.389580347  104  1
16  87.4104932882  106  1
17  84.2481980354  103  1
18  85.3639663931  105  0
19  85.5769169858  104  2
20  84.9910162336  104  1
21  84.5400005685  104  0
22  84.4069428258  104  1
23  84.9226600178  104  0
24  85.6144479322  105  1
