Trial  Reward  #Clicks  NewWeights
0  -90.9907279193  9  129952
1  -79.9834185417  20  24798
2  -69.9845690919  30  24407
3  -54.9842983742  45  25369
4  -43.9832831829  56  25619
5  -28.9807113649  71  25484
6  -20.9824710298  79  24894
7  -14.9809144031  85  23725
8  2.01279141067  102  22632
9  41.6406913047  105  17641
10  87.9814057557  107  8106
11  86.3384823837  105  2040
12  85.9708166334  106  539
13  91.0261418534  110  137
14  88.0784945931  108  33
15  85.9800521673  105  10
16  88.410665194  108  4
17  88.2398734666  107  3
18  87.9148092049  107  2
19  87.3032890845  106  1
20  88.2617339197  107  1
21  86.5639225368  105  3
22  88.4281941641  108  1
23  86.9640798238  106  0
24  85.6463249397  105  2
