Trial  Reward  #Clicks
0  -51.9856120408  48
1  -28.9720298072  71
2  -4.98284955259  95
3  25.0245170825  125
4  57.0252077046  157
5  108.033149858  208
6  176.825012489  234
7  209.224509716  234
8  208.841120097  233
9  206.776892247  231
10  206.091219662  231
11  209.33597151  232
12  207.476126347  232
13  210.810042105  235
14  208.451745087  232
15  209.663515128  234
16  210.695513949  235
17  207.494542935  232
18  209.333858206  234
19  208.504766443  234
20  210.291134024  236
21  209.837761372  235
22  213.18677643  237
23  211.175035855  235
24  212.540699508  237
25  211.615862207  236
26  210.864925839  236
27  211.885299189  237
28  210.431256633  234
29  212.134174051  236
30  212.386826615  236
31  211.631055892  236
32  211.624034568  236
33  211.470946682  236
34  211.907074502  236
35  214.027608767  237
36  213.326972704  237
37  212.521131883  237
38  211.78230212  236
39  212.81395563  237
40  212.795769249  237
41  213.278032924  238
42  212.686996278  237
43  212.732326406  238
44  212.887601262  238
45  214.215437244  238
46  214.569360323  239
47  211.04448757  236
48  211.615747103  236
49  215.104131992  239
50  214.092276313  238
51  214.087672166  238
52  213.948857136  238
53  214.403631751  238
54  215.78957437  239
55  215.350223646  239
56  214.10252054  238
57  213.50572871  237
58  213.784028675  238
59  215.019530791  239
60  214.608861602  238
61  213.60999192  238
62  214.724750283  239
63  214.737160761  240
64  216.029524092  241
65  213.887140848  239
66  214.5717775  239
67  215.851479428  240
68  214.826847241  239
69  213.800258293  238
70  215.418804717  240
71  214.98315803  239
72  216.298772304  240
73  214.207013957  239
74  216.945749336  241
75  211.462795039  235
76  214.448386362  239
77  215.6281783  240
78  215.408790698  240
79  215.35689966  239
80  212.741210108  237
81  213.371727315  238
82  215.657644841  240
83  214.386135993  238
84  214.346289403  239
85  216.016538096  240
86  215.418825436  239
87  213.815106667  238
88  212.995453405  238
89  215.610337231  240
90  217.325381972  240
91  214.903621392  239
92  215.065572261  239
93  214.444357733  239
94  215.007424187  240
95  213.888312603  238
96  215.332131651  240
97  214.2710116  239
98  216.084103952  240
99  216.08433416  240
100  215.584554008  240
101  214.626336641  239
102  215.892111024  240
103  215.316592655  240
104  214.879659109  240
105  218.234429351  242
106  216.932857725  241
107  215.783892852  241
108  214.823969649  239
109  215.913059893  240
110  214.069925482  239
111  213.895449031  238
112  215.271221089  241
113  216.784970223  240
114  217.341360664  241
115  216.090570477  239
116  213.252961042  237
117  214.58869774  239
118  217.422833346  242
119  215.26700369  239
120  214.439062964  239
121  215.786906266  240
122  215.079154494  239
123  217.004222003  241
124  214.640149082  239
125  216.655803182  241
126  216.161317799  241
127  216.351489787  240
128  215.510772553  240
129  217.473384577  241
130  214.771712582  239
131  214.408675594  239
132  215.603315907  240
133  215.595488857  240
134  217.553611838  241
135  212.788612103  238
136  215.859421581  240
137  216.64728551  241
138  214.653846419  239
139  215.71715344  240
140  215.985114793  240
141  215.943792574  240
142  216.717823343  242
143  214.91766404  239
144  216.406949039  241
145  216.970726834  241
146  214.994762783  240
147  213.362058606  238
148  215.098356089  240
149  215.348036677  239
150  216.769755819  241
151  213.913039174  239
152  212.38091489  238
153  216.180540112  241
154  214.955167119  240
155  216.809236379  241
156  215.654306834  240
157  217.460032551  241
158  215.967043516  240
159  213.926872334  238
160  215.71496647  240
161  214.807604209  240
162  216.638077216  241
163  216.178813557  241
164  216.182266668  241
165  214.764115739  239
166  216.222092539  241
167  214.278974472  238
168  216.431811433  241
169  214.78575523  239
170  214.811193142  239
171  216.715772196  241
172  215.571107597  239
173  215.061313425  239
174  213.875975791  239
175  215.417883888  240
176  214.733613265  239
177  214.19550359  239
178  215.491089825  240
179  216.121491928  241
180  215.780920875  240
181  217.30358594  242
182  216.50190957  241
183  216.549468106  240
184  212.144261737  238
185  215.690334284  240
186  216.335354554  241
187  212.871047052  237
188  215.370230967  240
189  215.054156279  240
190  215.320160869  240
191  214.271587119  239
192  217.086751337  241
193  216.459781625  241
194  215.897541616  239
195  215.702399451  241
196  214.134979776  238
197  215.286090181  240
198  215.670651556  240
199  216.41293443  241
200  214.7002332  239
201  215.491665343  240
202  216.215301422  241
203  215.218660147  239
204  214.953095253  240
205  215.428128115  240
206  212.298981793  237
207  215.552900497  240
208  216.656148493  241
209  215.57396447  240
210  216.51136879  240
211  215.034724476  239
212  216.728778911  241
213  215.667773964  240
214  216.424925931  240
215  215.610107023  240
216  213.564986383  238
217  216.308441013  240
218  215.629925574  239
219  213.848832043  238
220  215.073169103  239
221  214.842731548  239
222  216.236846528  240
223  217.417444192  241
224  216.237631535  241
225  212.340188908  237
226  214.705643073  239
227  217.423889998  241
228  216.215322141  240
229  215.84342217  240
230  217.675506629  241
231  216.25063825  241
232  215.419935035  241
233  216.037947379  240
234  215.351584172  240
235  216.326491571  241
236  213.458860796  238
237  215.900168282  240
238  216.135900606  240
239  215.348916069  241
240  215.39256108  240
241  214.068889549  239
242  216.115527255  240
243  216.680895783  241
244  214.711973775  239
245  213.598481552  238
246  215.487866922  240
247  216.177568136  240
248  217.751129743  241
249  215.731426296  240
250  215.529974148  241
251  215.397740745  240
252  211.954727423  236
253  212.177432313  237
254  217.387747444  241
255  213.100563778  237
256  215.496729905  240
257  212.021121524  237
258  216.182727082  241
259  216.244767963  241
260  216.356554349  240
261  216.660888462  240
262  215.326836882  240
263  215.386439866  241
264  216.232012173  240
265  216.16766922  240
266  215.121031513  240
267  214.135670398  238
268  215.346770536  239
269  216.113225182  240
270  214.139123509  238
271  215.323634698  239
272  215.244883066  240
273  215.143937144  240
274  215.387726725  240
275  212.881134738  239
276  216.966813309  241
277  214.435630572  238
278  214.858480033  240
279  215.642890852  241
280  214.076737317  238
281  216.863470928  240
282  216.15638906  240
283  215.203215536  240
284  215.155677719  240
285  214.082262294  238
286  216.049342643  240
287  217.35033875  241
288  215.467608675  240
289  217.512729315  242
290  215.411783393  240
291  216.020681828  240
292  215.772172996  240
293  217.345619499  241
294  217.432658596  240
295  216.662615017  240
296  217.285765589  241
297  215.86471635  240
298  215.814436763  239
299  214.29957803  238
300  214.31705307  239
301  216.967273723  241
302  216.21679777  241
303  215.4558681  240
304  216.922843705  241
305  214.975540469  240
306  216.109656968  240
307  216.977633054  241
308  215.291730261  240
309  215.553842046  239
310  216.553266527  240
311  215.875400273  241
312  214.685290441  238
313  214.340628604  240
314  214.770906856  239
315  216.643947504  241
316  213.731426296  238
317  217.063845706  241
318  214.893126239  240
319  215.645213644  240
320  215.037602068  239
321  215.825120686  240
322  214.621596672  240
323  214.445623873  239
324  215.644407918  240
325  215.610567438  240
326  215.799892263  241
327  214.515952218  239
328  215.614250756  240
329  217.075931592  241
330  216.563259828  241
331  216.147275151  241
332  215.515031389  240
333  215.856774197  240
334  215.215301422  240
335  215.109541864  239
336  214.70713942  239
337  214.543901692  240
338  215.447120221  240
339  214.75845494  240
340  217.961539258  241
341  217.796459871  242
342  213.226581582  238
343  214.478198213  239
344  215.656839115  240
345  217.218409221  242
346  214.897520897  239
347  216.984539275  241
348  214.378518432  239
349  212.905787643  238
350  215.518850529  239
351  215.043357252  239
352  217.024595353  241
353  216.968194553  241
354  215.535174532  240
355  212.83396295  238
356  212.804977543  237
357  216.453241435  240
358  216.291405669  240
359  213.69296095  239
360  211.017323103  236
361  214.90857085  239
362  212.258580403  237
363  216.618049177  241
364  214.244307548  239
365  214.939973434  240
366  213.109656968  237
367  213.119210573  237
368  214.660292225  239
369  215.339383182  240
370  213.933622013  240
371  214.722542594  240
372  217.122088165  241
373  215.415257222  239
374  216.088362788  240
375  216.634969417  241
376  214.790108451  240
377  215.117463299  240
378  216.420416169  241
379  214.379303439  240
380  214.05450159  239
381  217.057054589  241
382  217.332822273  242
383  217.833083558  241
384  215.207819683  240
385  214.937901568  240
386  215.22243785  240
387  217.01009229  241
388  214.039673934  238
389  215.301649896  239
390  215.503981436  240
391  215.813725422  240
392  214.629423722  240
393  214.887391774  239
394  214.941720708  239
395  215.354001349  240
396  213.699312371  238
397  216.662269706  240
398  214.421797413  239
399  217.295549401  241
400  215.149922535  240
401  214.062213536  239
402  215.92767806  240
403  214.978418061  240
404  215.651544346  240
405  214.307499465  239
406  215.409271831  239
407  215.517123974  239
408  215.10744928  240
409  215.936865635  241
410  214.907744405  240
411  217.314562226  240
412  216.943332159  241
413  216.80394161  241
414  216.379899676  241
415  215.50754965  240
416  215.289197981  240
417  214.570741567  239
418  215.922383291  240
419  214.762734495  239
420  213.552074053  239
421  215.103650858  240
422  214.830530559  239
423  216.400063537  240
424  214.945654951  238
425  214.067644127  238
426  217.766763124  242
427  216.750648609  241
428  214.838127401  239
429  215.77610724  239
430  214.869665808  239
431  214.898766319  240
432  216.838838742  240
433  217.722468928  241
434  218.393963043  242
435  214.643717296  239
436  215.110557079  240
437  216.164080287  241
438  216.329274778  240
439  214.86653729  240
440  215.226006064  240
441  215.973929018  241
442  215.883363145  240
443  217.323729083  242
444  214.332016547  239
445  215.451609264  240
446  215.731196088  240
447  216.746714366  242
448  216.810157209  241
449  213.646845814  237
450  216.571547293  241
451  215.415696918  240
452  216.19586962  240
453  217.892016639  241
454  216.276557295  240
455  212.021581939  237
456  215.443531289  241
457  214.519614817  240
458  216.506398613  241
459  217.551634357  242
460  217.732482947  241
461  214.367468479  239
462  213.610661823  239
463  215.642105845  240
464  214.141865278  239
465  213.040689149  238
466  216.665356787  241
467  217.940360182  241
468  214.032286581  239
469  213.163870798  237
470  217.248241791  241
471  215.914880833  241
472  217.102980955  241
473  216.155102201  241
474  216.156734371  240
475  215.184013941  239
476  214.207129061  239
477  215.287471426  240
478  216.563144724  241
479  215.931361377  240
480  215.619545525  240
481  215.977402847  240
482  214.721506661  240
483  217.92767806  242
484  216.425710938  241
485  214.847890495  240
486  214.208280098  239
487  216.546820721  240
488  214.476471658  239
489  216.246034103  241
490  217.285880693  241
491  214.551634357  239
492  215.12600169  239
493  215.343181604  240
494  216.917088522  241
495  214.466572742  239
